trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.1999999999999997, 'e': 0.03206468532786077}",30,16,27.04630721238772,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.1999999999999997, 'e': 0.03142976201836771}",20,7,-20.265813082777157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.1999999999999997, 'e': 0.030807411032751076}",20,7,24.353742633135354,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1999999999999997, 'e': 0.0301973834223185}",30,12,34.802076966403064,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1999999999999997, 'e': 0.029599435167892}",35,28,13.335850397968708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1999999999999997, 'e': 0.029013327082197053}",30,14,35.23722889825205,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1999999999999997, 'e': 0.028438824714184505}",20,16,6.75124394371441,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1999999999999997, 'e': 0.027875698255247015}",20,0,28.057858857869874,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.1999999999999997, 'e': 0.02732372244729256}",30,16,12.740005256354284,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.1999999999999997, 'e': 0.026782676492638175}",20,16,7.513546847519819,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.1999999999999997, 'e': 0.02625234396568796}",20,6,25.20347803541492,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.1999999999999997, 'e': 0.02573251272635994}",20,12,18.598219186854607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.1999999999999997, 'e': 0.025222974835227212}",30,6,19.788311191613396,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.1999999999999997, 'e': 0.024723526470339388}",30,14,27.749681460187745,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.1999999999999997, 'e': 0.024233967845691113}",25,0,40.67675961662763,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.1999999999999997, 'e': 0.023754103131304997}",25,12,22.155827858300956,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.1999999999999997, 'e': 0.023283740374897}",25,15,19.1519774903705,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.1999999999999997, 'e': 0.02282269142509297}",25,11,24.45912385313024,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.1999999999999997, 'e': 0.02237077185616559}",20,3,27.73115095573041,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.1999999999999997, 'e': 0.02192780089426161}",30,24,11.157581433487083,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.1999999999999997, 'e': 0.021493601345089923}",25,7,17.17233558909427,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.1999999999999997, 'e': 0.021067999523041434}",35,27,13.564622338443595,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1999999999999997, 'e': 0.020650825181712566}",20,3,24.60585610490866,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.1999999999999997, 'e': 0.02024191144580439}",20,13,14.236332299987916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.1999999999999997, 'e': 0.019841094744370288}",20,9,19.905925375613045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.1999999999999997, 'e': 0.01944821474538539}",20,11,14.605884113869134,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.1999999999999997, 'e': 0.019063114291611637}",25,17,16.965737876584733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.1999999999999997, 'e': 0.018685639337732773}",30,3,44.553109850274154,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.1999999999999997, 'e': 0.01831563888873418}",30,16,26.541991899239477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.1999999999999997, 'e': 0.01795296493950285}",20,8,19.815476741272604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.1999999999999997, 'e': 0.017597472415623393}",20,15,10.740464271867353,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.1999999999999997, 'e': 0.017249019115346265}",20,10,18.38331803733199,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.1999999999999997, 'e': 0.01690746565270528}",20,15,6.687870653705056,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.1999999999999997, 'e': 0.016572675401761255}",20,2,30.821412319881578,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.1999999999999997, 'e': 0.01624451444194987}",25,19,13.675079092620892,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.1999999999999997, 'e': 0.015922851504511698}",25,17,14.926339604961683,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.1999999999999997, 'e': 0.01560755791998283}",30,17,24.38742123760546,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.1999999999999997, 'e': 0.015298507566725518}",20,8,17.082759088036553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.1999999999999997, 'e': 0.014995576820477703}",20,13,11.376205148815073,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,19.081066963306508,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,5,33.00178995548411,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,24.431466857388028,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,14.853111068833426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,22.5342193424704,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,12,31.04082226789649,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,17.53808773866174,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,28.00246232627775,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,13,30.333388043846437,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,10.310570728020688,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
