trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.1999999999999997, 'e': 0.4584060113052235}",20,8,5.663572152871563,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.1999999999999997, 'e': 0.44932896411722156}",25,3,-13.731579527034766,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.1999999999999997, 'e': 0.44043165450599925}",20,12,-3.9793664596431944,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.1999999999999997, 'e': 0.43171052342907973}",20,3,-48.95006244574383,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.1999999999999997, 'e': 0.4231620823177488}",25,0,-23.090088193676586,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.1999999999999997, 'e': 0.4147829116815814}",25,16,-18.80226469611354,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.1999999999999997, 'e': 0.4065696597405991}",25,0,-93.56188219155592,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.1999999999999997, 'e': 0.39851904108451414}",20,10,-106.8070853286464,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 3}",1
48,False,"{'a': 0.1999999999999997, 'e': 0.3906278353585211}",30,0,-62.32199950029721,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.1999999999999997, 'e': 0.38289288597511206}",20,12,1.8525314793838996,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.1999999999999997, 'e': 0.37531109885139957}",30,10,-103.03159611576912,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
51,False,"{'a': 0.1999999999999997, 'e': 0.36787944117144233}",20,0,-14.069391879792878,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
52,False,"{'a': 0.1999999999999997, 'e': 0.3605949401730783}",20,0,-20.834891587305975,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.1999999999999997, 'e': 0.35345468195878016}",25,9,0.36278682506217574,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.1999999999999997, 'e': 0.3464558103300574}",20,11,3.2058706096252747,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.1999999999999997, 'e': 0.3395955256449391}",30,9,-45.62365937049107,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.1999999999999997, 'e': 0.33287108369807955}",20,0,-35.12206452139664,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.1999999999999997, 'e': 0.32627979462303947}",25,0,-26.811761074551296,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.1999999999999997, 'e': 0.31981902181630384}",25,8,-48.06346025342252,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.1999999999999997, 'e': 0.3134861808826053}",25,0,0.6398554241021428,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
